Char_Name;Name_Jap;Name_Nick;Char_Data
Elric, Edward;Edward Elric (エドワード・エルリック);"Edward ""Ed, Fullmetal Alchemist, Hagane no shounen, Chibi, Pipsqueak"" Elric";"
Age: 15-16 (series), 18 (movie, end of the series)
Birthday: 1899
Birthplace: Resembool, Amestris
Family: Alphonse Elric (brother)
Trisha Elric (mother, deceased)
Van Hohenheim (father)
Affiliations: State Military
Winry Rockbell
Pinako Rockbell
Izumi Curtis (teacher)
Roy Mustang (Commander)
Species: Human
Occupation: State Alchemist
Abilities: Alchemy, Martial Arts
Weapon: Alchemy, Automail arm and leg

Edward ""Fullmetal Alchemist"" Elric is a young alchemical prodigy. He is the youngest State Alchemist ever to be recognized by the Amestris State Military, having received the title at the age of 12. Ed's primary motivation throughout the series is to return his younger brother, Alphonse, to his original body, which was lost in a failed human transmutation. Edward, despite his occasional bouts of immaturity, is a selfless boy who gains a reputation as a ""hero of the people"" throughout his youth. Notably, he doesn't seem concerned about returning his own arm and leg, instead focusing entirely on Al's suffering.

Edward is small for his age, standing at only 149 cm (4'11""), however his body is that of an experienced martial artist, with noticeable muscles and a wealth of agility. Although he lacks both his right arm and left leg, Ed's ability to fight is not impaired, and is in fact improved, as he will often use alchemy to cause his metal arm to partly transform into a blade or shield. His heavy automail limbs are considered by him to be the very best in Amestris. They were made by his childhood friend, Winry Rockbell, and she is constantly working on them. He is able to think quickly, even in desperate situations, though can still be frightened into paralysis. These qualities, combined with his alchemical powers and physical strength, make him a formidable fighter.

Born to Trisha Elric and Van Hohenheim of Resembool in the winter of 1899, Edward's first few years were relatively happy; but after the sudden departure of his father during the lad's formative years, Ed was left with his mother and younger brother Alphonse as his only family. The three Elrics lived in peace in the rural village and the boys began displaying a remarkable talent for alchemy at a young age, much to the joyful astonishment of his mother. However, early in the year 1904, Trisha contracted an illness that had been spreading in the area and died, leaving her two sons orphaned. Even while mourning, mired in grief, Edward vowed to his brother that the two of them would find a way to bring their dear mother back to life with the power of alchemy.

Edward and Alphonse spent the next few years living on their own in the Elric family home, supported by their close childhood friend Winry Rockbell and her grandmother Pinako, and pursuing the alchemical knowledge necessary for their planned resurrection. Although they had gained a great deal of information and comprehension regarding the extended basics of the craft, before long it became apparent to the young prodigies that there was only so far they could go while being self-taught. In a stroke of good fortune, Resembool was visited by an exceptionally skilled alchemist named Izumi Curtis who, after some persuasion, agreed to take the Elric brothers on as her apprentices provided they pass a preliminary test. After they do, the Elric brothers were subjected to Izumi's intensive alchemy and martial arts training, growing significantly in both mind and body and gaining a great deal of alchemical knowledge before returning to Resembool.

Though instructed specifically by Izumi to understand that death is an irreversible part of the flow of the world and that acceptance of such is important to the ""One is All, All is One"" concept, the boys dove headlong into their plan to resurrect their mother upon their homecoming, having advanced their knowledge while abroad and discovered the basics to a forbidden practice called Human Transmutation.

Devising a Human Transmutation Circle, amassing the elemental ingredients for an adult human body and offering their own blood as soul and biological data, the boys secretly initiated the Human Transmutation in their home. Unfortunately, the Human Transmutation resulted in a Rebound.

Alphonse and Edward were pulled into The Gate. Encountering the mysterious being called Truth, Edward was stripped of his left leg in exchange for crossing into God's domain and peeking at the Gate's vast wealth of alchemical knowledge. Maimed and bleeding, Edward was returned to the human dimension to find that Alphonse had not yet returned from his disappearance into the Gate, that the mother they had attempted to revive was a grotesque mass of organs only capable of sustaining life for a few moments and that his own sojourn into the Gate had granted him the curious ability to perform transmutations merely by clapping his hands together, without the aid of a Transmutation Circle - in the same style used by Izumi. Desperate to at least have his brother by his side, Edward willfully performed another Human Transmutation to call him back, this time sacrificing his right arm in exchange for Al's soul, which he bound alchemically to an antique suit of armor with a Blood Rune before passing out from severe blood loss. Alphonse carried Ed to the Rockbell house, where a shocked Pinako and Winry performed emergency surgery to save the young boy's life.

On the night of the failed transmutation. Lt. Colonel Flame alchemist Roy Mustang came to the Rockbell's in response to a letter that Edward and Alphonse had sent him in the mail asking about their Father. He was shocked at the fact that the two boys had tried human alchemy and survived, and informed them that they could become state alchemist and maybe one day find a way to return their bodies to the way they were. Desperate to get His younger brother's body back, Edward asked the Rockbells to give him prosthetic limbs called automail. Though they warned him the surgery would be painful, he said the pain was nothing compared to what his brother had given up. He only took a year to adapt to the automail at age 11 when it took most adults 3 years."
Elric, Alphonse;Alphonse Elric (アルフォンス・エルリック);"Alphonse ""Al, Armored Alchemist"" Elric";"
Birthplace:
Resembool

Date of Birth:
1900

Age:
14-15 (17 at the end)

Family:
Edward Elric (brother)
Trisha Elric (mother, deceased)
Van Hohenheim (father)

Species:
Human

Occupation:
Alchemist

Abilities:
Alchemy, Martial Arts, High Intelligence, Highly Resistant Armor Body

Weapon:
Fists, Alchemy

Alphonse Elric is a fictional character in the manga and anime series Fullmetal Alchemist. He is a human child who lost his body during a forbidden alchemical transmutation to bring his deceased mother back to life, and had his soul transmuted into a suit of armor by his brother, Edward Elric. Al's blood seal lies just below the base of the neck at the back of the suit, on the inside. It is drawn with Ed's blood. According to Edward, he needs to be careful whenever he reconstructs Alphonse's body because he must keep the blood seal intact during the transmutation. If the blood seal is removed, Al's soul will be lost.

""Kindness in a can."" - Edward Elric

(Source: Wikipedia)"
Mustang, Roy;Roy Mustang (ロイ・マスタング);"Roy ""Flame Alchemist"" Mustang";"
Birthday: 1885 (Age 30 from vol. 10)
Height: 5'8"" (173 cm)

Roy Mustang is the ""Flame Alchemist,"" having absolute control over heat and fire through alchemy. Using special gloves that create a spark when he snaps his fingers, Roy can create anything from a tiny ember to burn a letter, to a raging inferno that can destroy a humanoid body in seconds. His precise control over the alchemically enhanced flame is so accurate that he can boil the water in a persons' eyes and can also attack enemies amongst a riot without hurting any allies.

Outwardly arrogant and playfully manipulative, Mustang is intelligent and almost always one step ahead of his opponents, and likes to feel in control of the situation. He is one of the superiors of Edward Elric. On the surface, he appears to be nothing more than a man of the military who pursues promotions and praise and is considered a ladies' man who constantly goes on dates with different women. Mustang's true goal is to become Führer in order to gain the power to reform the government in order to absolve his sins in the Ishval War as well as change the country for the better, along with the joking requirement for female officers to wear tiny miniskirts (which considerably increased Havoc's loyalty to him and caused Hawkeye to be angry with him).

His goals are admirable enough that he earns the fierce loyalty of his good friends Lt Col. Maes Hughes, Major Alex Louis Armstrong, and his own subordinates, among whom are Riza Hawkeye, Jean Havoc, Heymans Breda, Vato Falman, and Kain Fuery. While Mustang has a close and amicable relationship with all of his subordinates, he appears to share a deeper bond of affection with his second-in-command Riza Hawkeye, who has devoted her life to supporting him. This bond culminates in the final episodes of the anime when Mustang chooses Hawkeye alone to accompany him on his greatest and most dangerous mission.

Though a hero of the Ishval War, he remains haunted by the horrors of war and suffers great remorse for the lives he took.


After the Promised Day arrives, he is forced to open the gate by Pride and Wrath, they first try to make him do it voluntarily by reviving Hawkeye, but he refuses. So Pride opens the gate for him using his Philosopher's Stone. Mustang gains the power to transmute without a circle, however his price is his eyesight.
(Source: Wikipedia)"
Hughes, Maes;Maes Hughes (マース･ヒューズ);Maes  Hughes;"
Maes Hughes is a character that is hard not to love. He is often seen as the comedy relief but has his debuts as a serious and skilled fighter. He is best friends with Roy Mustang (and would do anything to help Roy achieve his goals) and a loving and devoted husband/father. Maes would do anything for his wife Gracia and always carries pictures of his daughter Elycia in his uniform and never misses a chance to show everyone how cute she is. He starts out in the anime as a Major in the Investigation Division and eventually becomes a Lieutenant Colonel.


He is killed by Envy upon his discovery of Father's plans, and is posthumously promoted to Brigadier General after his death."
Greed;Greed  (グリード);Greed  ;"
Greed is a greedy Homunculus, nicknamed the ""Ultimate Shield"". He is able to rearrange the carbon in his body to make his skin as hard as diamond, thus making himself almost impossible to injure. As his name implies he is a very avaricious character, who likes living in luxury, surrounded by powerful minions and beautiful women. Despite his generally greedy nature, he is shown to honestly care for his subordinates. He also has a habit of flipping people off in the manga.


In the 2003 anime series
Greed is the second oldest of the Homunculi created by Dante. However, due to his avarice, Greed rebelled and was eventually captured and imprisoned in lab 5. He was imprisoned for 130 years until an explosion broke his seal. He then freed the caged chimera at Lab 5 in exchange for helping him get his revenge on the other homunculi and their master.


In the manga and 2009 anime series
He is the third Homunculus created by Father. Greed apparently abandoned the other Homunculi over 100 years before the start of the series and claims to be around two centuries old. He first appears hiding in the Devil's Nest in Dublith, with his gang of chimeras all of whom he apparently rescued from military experimentation.


After Greed is punished by Father, he later returns as Father removes his son's Philosophers Stone core from his own body and inserts it directly into the body of Ling Yao to create a second Human-based Homunculus. This second Greed maintains all the same personality and powers as the first (his Ouroboros tattoo is even in the same spot), but appears to have none of his previous memories, not recognizing Envy, Gluttony or the Elric Brothers. As such, he becomes a faithful servant of his Father, as the first Greed was presumed to have been initially, and refers to all actions prior to his rebirth as having been done by ""the other Greed"". However, as Greed is a host in Ling Yao's body, Ling is able to regain control of his body if Greed let's his guard down or allows him to. By doing this, Ling is able to regain his sixth sense of detecting another's presence, but is not able to use the Ultimate Shield. Greed is reluctant to willingly give him back his body however. After killing a past comrade and follower of his, memories from Greed's previous life returned, including his time in the Devil's Nest and the feelings he had for his followers. Remembering this, along with how Bradly killed most of his followers, leads Greed to betraying Father once again. He also stops referring to his ""previous self"" as ""the other Greed"" upon regaining his memories. After forming a temporary alliance with Edward and company, Greed and Ling help in the fight against the Homunculi and the Central Troopers. In the afternath, as Edward, Alphonse and the military engage Father, he steps in and allows Father to absorb his Philosopher's Stone, afterwards giving Ling his body back, claiming the only thing he truly wanted were friends. He then reverses his Ultimate Sheild, turning Father into a brittle coal-like substance and fades away with his Father, a smile on his face.
(Source: Fullmetal Alchemist Wikia)"
Hawkeye, Riza;Riza Hawkeye (リザ・ホークアイ);Riza  Hawkeye;"
Riza Hawkeye is Roy Mustang's most trusted subordinate. She carries out many of the tasks he is too lazy to do, acts as his personal assistant, and protects him from danger. She also doubles as his voice of reason, keeping cool in heated situations and scolding him when he allows his emotions to get in the way. Riza and Roy seem to share a close relationship in both adaptations of Fullmetal Alchemist; in the anime she identifies him as her most precious person, whereas in the manga she loses her resolve to live when believing he has been killed. Riza specializes in firearms, particularly sniper rifles, and can hit nearly any target with lethal accuracy. She adopts a dog, called Black Hayate in both the anime and the manga, which she raises with stern discipline; when Hayate goes to the bathroom inside, she shoots at the wall behind him to reinforce that doing so is bad."
Armstrong, Alex Louis;Alex Louis Armstrong ;"Alex Louis ""Major, Strong Arm Alchemist"" Armstrong";"
Major Alex Louis Armstrong, the Strong Arm Alchemist, was born into an elite family of alchemists and has mastered his family's techniques. Members of his family have, in the past, filled the highest military and political positions in the state. He acquired his alchemy titles for his skill of using arm strength in his alchemy. All though he may look intimidating, he is really friendly and (overly)affectionate, and often stays behind or risks his life for the safety of others. He also has a tendency to show off techniques passed down to him to his enemies, and make them feel somewhat awkward during a battle.

The scion of the illustrious Armstrong family, Alex is a remarkably caring commander and friend as well as an invaluably skilled ally to Colonel Roy Mustang and Edward Elric."
Yao, Ling;Ling Yao (リン・ヤオ);Ling  Yao;"
Ling Yao is a Xingese character exclusive to the manga and the 2009 anime series. Due to his father, the Emperor's, declining health, Ling left his country to find the Philosopher's Stone to stabilize Xing, as well as grant him the key to immortality. Although he is the 12th son of the Emperor, Ling hopes the Philosopher's Stone will help him rise in the order of succession and achieve the throne thereby securing his clan's welfare. Though he is often laid back and hungry, he's very noble and will do whatever it takes to help his clan. He is also a skilled fighter and has had many incidents involving assassination attempts at his life. He has formed a strong rivalry with Ed, by doing things such as use Ed's money to annoy him.


After the 1st Greed is punished by Father, he gives Ling the secret to immortality by transforming him into the succeeding Greed. Ed tries to help, but Ling denies his help as it is the only way to help his clan in the land of Xing. Even while his body is taken over by Greed his mind and soul are kept intact and can come to the surface. Since Greed understands his strong points their relationship is on some kind of symbiotic level.

After the main events of the series, he is shown to be the new Emperor of Xing; sitting on the throne, with Lan Fan still acting as his bodyguard."
Rockbell, Winry;Winry Rockbell (ウィンリィ・ロックベル);"Winry ""Win"" Rockbell";"
Birthplace:
Resembool

Birth date:
June 9, 1899

Age:
15-16 (Around 18 at the end)

Family:
- Pinako Rockbell (grandmother)
- Urey Rockbell (father, deceased)
- Sara Rockbell (mother, deceased)

Affiliations:
- Rockbell Automail
- Atelier Garfiel

Occupation:
Automail mechanic

Abilities:
Automail specialist and mechanic, amateur surgeon

Unique Trait:
An unusual love for machines and tools

A childhood friend of the central characters, the Elric brothers, she is often seen in their company throughout the series. She is evidently Edward's love interest. Specializing in mechanical repair, specifically with automail, Winry services Edward's arm and leg whenever it is in need of repair or replacement.


In the manga, Winry becomes an apprentice to Garfiel, an automail engineer in Rush Valley. She also studies techniques for making automail for northern frigid conditions. Her parents, both doctors, were killed by Scar during the Ishbal war when she was very young. In chapter 47 at the Central, she tried to shoot Scar after finding out that he was the one who had killed her parents. She frequently travels with the Elrics in earlier chapters and later, returning back to Rush Valley, realizes that she has been in love with Ed for a long time, and Ed has the same feeling though he constantly denies it. It has been mentioned in chapter 15 that Alphonse and Edward had once fought over who would get to marry Winry when they were kids, making Ed freak out and become incredibly flustered, claiming that he didn't remember that. Alphonse won, but was rejected. After Ed asked her why, she replied with ""I don't like guys shorter than me,"" resulting in a huge blow on Ed's ego. Due to her importance in the lives of the Elric brothers, Winry is used as a hostage by the military to gain Edward's obedience. In order to escape from the military possession, she decided to travel with Scar and the others. It was revealed in chapter 73 that it was her plan for Scar to use her as a hostage in order to escape although she has not forgiven him for killing her parents. In chapter 84 Winry is taken on a military train back into Resembool in a water tank. When she goes into her house, she is shocked to find Ed in her room while she is undressing. They both scream which causes everyone to believe that the two of them are in danger. Shortly afterwards (after beating his head a few times), she fills Ed in on where Al is and what have been happening in Lior. Ed tells her to leave the country, but she refuses, wanting to help Ed in any way that she can. Ed soon departs, and Winry stays in Resembool for the time being. At the epilogue, Ed confesses (or maybe more like proposes) to her, and in a photo, it shown that they're married and have two children."
Envy;Envy  (エンヴィー);Envy  ;"
Envy is a homunculus who has the ability of shape-shifting. They use this power to assume the form of any person and even copy their voice. They usually serves as a spy, but their abilities are also extremely useful for assassinations. Envy may not be as smart as some of the other homunculi, but is by no means an idiot. In fact, they can be just as good a puppet master as Lust, but this is overshadowed by their cockiness and bad temper. Their temper can easily be set off by insulting their large and delicate ego, causing them to make mistakes.


In the 2003 anime series:
As the oldest Homunculus, Envy claimed that he had forgotten what he originally looked like. Envy also greatly hates all humans and followed Dante mostly for the opportunity of killing as many people as he could. This is what drove Envy in all that he did and unlike other Homunculi, Envy does not care about the Philosopher's Stone, nor about becoming human.


Towards the very end of the series it is revealed that Envy was created four hundred years ago by Hohenheim in an attempt to resurrect the son he and Dante had, who later died from mercury poisoning when he was eighteen years old. Envy held a great hatred toward Hohenheim for never being acknowledged as his son and for abandoning him and Dante.

In the manga and 2009 anime series:
Envy was the fourth Homunculus created by Father. Though often referred to as a 'he' Envy is apparently genderless and can take almost any form they choose. Referred to by Lust as the most cruel or sadistic of the Homunculi, Envy shows the most open disdain of humans and relishes in any opportunity to hurt, humiliate, or insult them. They are also quite vain and short tempered and dislike anyone insulting their appearance.


Beneath this cruel exterior however Envy is secretly envious of humans' inner strength and the mutually beneficial friendships that they share, since most of the Homunculi show little real concern or emotional support for each other.
(Source: Fullmetal Alchemist Wikia)"
