Name_Eng;Genre
Fullmetal Alchemist: Brotherhood;Action
Fullmetal Alchemist: Brotherhood;Military
Fullmetal Alchemist: Brotherhood;Adventure
Fullmetal Alchemist: Brotherhood;Comedy
Fullmetal Alchemist: Brotherhood;Drama
Fullmetal Alchemist: Brotherhood;Magic
Fullmetal Alchemist: Brotherhood;Fantasy
Fullmetal Alchemist: Brotherhood;Shounen
Your Name.;Supernatural
Your Name.;Drama
Your Name.;Romance
Your Name.;School
Gintama Season 4;Action
Gintama Season 4;Comedy
Gintama Season 4;Historical
Gintama Season 4;Parody
Gintama Season 4;Samurai
Gintama Season 4;Sci-Fi
Gintama Season 4;Shounen
"Steins;Gate";Sci-Fi
"Steins;Gate";Thriller
March Comes In Like A Lion 2nd Season;Drama
March Comes In Like A Lion 2nd Season;Game
March Comes In Like A Lion 2nd Season;Seinen
March Comes In Like A Lion 2nd Season;Slice
Legend of the Galactic Heroes;Military
Legend of the Galactic Heroes;Sci-Fi
Legend of the Galactic Heroes;Space
Legend of the Galactic Heroes;Drama
Gintama Season 2;Action
Gintama Season 2;Sci-Fi
Gintama Season 2;Comedy
Gintama Season 2;Historical
Gintama Season 2;Parody
Gintama Season 2;Samurai
Gintama Season 2;Shounen
Hunter x Hunter;Action
Hunter x Hunter;Adventure
Hunter x Hunter;Super
Hunter x Hunter;Shounen
Gintama: Enchousen;Action
Gintama: Enchousen;Comedy
Gintama: Enchousen;Historical
Gintama: Enchousen;Parody
Gintama: Enchousen;Samurai
Gintama: Enchousen;Sci-Fi
Gintama: Enchousen;Shounen
Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2;Action
Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2;Sci-Fi
Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2;Comedy
Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2;Historical
Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2;Parody
Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2;Samurai
Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2;Shounen
A Silent Voice;Drama
A Silent Voice;School
A Silent Voice;Shounen
Owarimonogatari Second Season;Mystery
Owarimonogatari Second Season;Comedy
Owarimonogatari Second Season;Supernatural
Owarimonogatari Second Season;Vampire
Gintama Season 5;Action
Gintama Season 5;Comedy
Gintama Season 5;Historical
Gintama Season 5;Parody
Gintama Season 5;Samurai
Gintama Season 5;Sci-Fi
Gintama Season 5;Shounen
Clannad ~After Story~;Slice
Clannad ~After Story~;Comedy
Clannad ~After Story~;Supernatural
Clannad ~After Story~;Drama
Clannad ~After Story~;Romance
Gintama;Action
Gintama;Sci-Fi
Gintama;Comedy
Gintama;Historical
Gintama;Parody
Gintama;Samurai
Gintama;Shounen
Haikyu!! 3rd Season;Comedy
Haikyu!! 3rd Season;Sports
Haikyu!! 3rd Season;Drama
Haikyu!! 3rd Season;School
Haikyu!! 3rd Season;Shounen
Code Geass: Lelouch of the Rebellion R2;Action
Code Geass: Lelouch of the Rebellion R2;Drama
Code Geass: Lelouch of the Rebellion R2;Mecha
Code Geass: Lelouch of the Rebellion R2;Military
Code Geass: Lelouch of the Rebellion R2;Sci-Fi
Code Geass: Lelouch of the Rebellion R2;Super
Made in Abyss;Sci-Fi
Made in Abyss;Adventure
Made in Abyss;Mystery
Made in Abyss;Drama
Made in Abyss;Fantasy
Spirited Away;Adventure
Spirited Away;Supernatural
Spirited Away;Drama
Gintama.: Silver Soul Arc;Action
Gintama.: Silver Soul Arc;Sci-Fi
Gintama.: Silver Soul Arc;Comedy
Gintama.: Silver Soul Arc;Historical
Gintama.: Silver Soul Arc;Parody
Gintama.: Silver Soul Arc;Samurai
Gintama.: Silver Soul Arc;Shounen
Haikyu!! 2nd Season;Comedy
Haikyu!! 2nd Season;Sports
Haikyu!! 2nd Season;Drama
Haikyu!! 2nd Season;School
Haikyu!! 2nd Season;Shounen
Koyomi Vamp, Kizumonogatari Part 3;Action
Koyomi Vamp, Kizumonogatari Part 3;Mystery
Koyomi Vamp, Kizumonogatari Part 3;Supernatural
Koyomi Vamp, Kizumonogatari Part 3;Vampire
Your Lie in April;Drama
Your Lie in April;Music
Your Lie in April;Romance
Your Lie in April;School
Your Lie in April;Shounen
Descending Stories: Showa Genroku Rakugo Shinju;Historical
Descending Stories: Showa Genroku Rakugo Shinju;Drama
Descending Stories: Showa Genroku Rakugo Shinju;Josei
Mushishi Zoku Shou 2nd Season;Adventure
Mushishi Zoku Shou 2nd Season;Fantasy
Mushishi Zoku Shou 2nd Season;Historical
Mushishi Zoku Shou 2nd Season;Mystery
Mushishi Zoku Shou 2nd Season;Seinen
Mushishi Zoku Shou 2nd Season;Slice
Mushishi Zoku Shou 2nd Season;Supernatural
Cowboy Bebop;Action
Cowboy Bebop;Adventure
Cowboy Bebop;Comedy
Cowboy Bebop;Drama
Cowboy Bebop;Sci-Fi
Cowboy Bebop;Space
Fighting Spirit;Comedy
Fighting Spirit;Sports
Fighting Spirit;Drama
Fighting Spirit;Shounen
Princess Mononoke;Action
Princess Mononoke;Adventure
Princess Mononoke;Fantasy
Code Geass: Lelouch of the Rebellion;Action
Code Geass: Lelouch of the Rebellion;Military
Code Geass: Lelouch of the Rebellion;Sci-Fi
Code Geass: Lelouch of the Rebellion;Super
Code Geass: Lelouch of the Rebellion;Drama
Code Geass: Lelouch of the Rebellion;Mecha
Code Geass: Lelouch of the Rebellion;School
Samurai X: Trust and Betrayal;Action
Samurai X: Trust and Betrayal;Historical
Samurai X: Trust and Betrayal;Drama
Samurai X: Trust and Betrayal;Romance
Samurai X: Trust and Betrayal;Martial
Samurai X: Trust and Betrayal;Samurai
My Hero Academia 2;Action
My Hero Academia 2;Comedy
My Hero Academia 2;Super
My Hero Academia 2;School
My Hero Academia 2;Shounen
Monogatari Series: Second Season;Mystery
Monogatari Series: Second Season;Comedy
Monogatari Series: Second Season;Supernatural
Monogatari Series: Second Season;Romance
Monogatari Series: Second Season;Vampire
MUSHI-SHI -Next Passage-;Adventure
MUSHI-SHI -Next Passage-;Slice
MUSHI-SHI -Next Passage-;Mystery
MUSHI-SHI -Next Passage-;Historical
MUSHI-SHI -Next Passage-;Supernatural
MUSHI-SHI -Next Passage-;Fantasy
MUSHI-SHI -Next Passage-;Seinen
Wolf Children;Slice
Wolf Children;Fantasy
NGNL Zero, NGNL the Movie;Ecchi
NGNL Zero, NGNL the Movie;Fantasy
NGNL Zero, NGNL the Movie;Game
NGNL Zero, NGNL the Movie;Comedy
NGNL Zero, NGNL the Movie;Supernatural
Mushi-Shi;Adventure
Mushi-Shi;Fantasy
Mushi-Shi;Historical
Mushi-Shi;Mystery
Mushi-Shi;Seinen
Mushi-Shi;Slice
Mushi-Shi;Supernatural
Natsume's Book of Friends Season 6;Drama
Natsume's Book of Friends Season 6;Fantasy
Natsume's Book of Friends Season 6;Shoujo
Natsume's Book of Friends Season 6;Slice
Natsume's Book of Friends Season 6;Supernatural
Great Teacher Onizuka;Comedy
Great Teacher Onizuka;Drama
Great Teacher Onizuka;School
Great Teacher Onizuka;Shounen
Great Teacher Onizuka;Slice
Gurren Lagann;Action
Gurren Lagann;Adventure
Gurren Lagann;Comedy
Gurren Lagann;Mecha
Gurren Lagann;Sci-Fi
Fighting Spirit: New Challenger;Comedy
Fighting Spirit: New Challenger;Sports
Fighting Spirit: New Challenger;Drama
Fighting Spirit: New Challenger;Shounen
Howl's Moving Castle;Adventure
Howl's Moving Castle;Drama
Howl's Moving Castle;Fantasy
Howl's Moving Castle;Romance
One Punch Man;Action
One Punch Man;Sci-Fi
One Punch Man;Comedy
One Punch Man;Parody
One Punch Man;Super
One Punch Man;Supernatural
One Punch Man;Seinen
The Disappearance of Haruhi Suzumiya;Comedy
The Disappearance of Haruhi Suzumiya;Mystery
The Disappearance of Haruhi Suzumiya;Romance
The Disappearance of Haruhi Suzumiya;School
The Disappearance of Haruhi Suzumiya;Sci-Fi
The Disappearance of Haruhi Suzumiya;Supernatural
Natsume's Book of Friends Season 4;Slice
Natsume's Book of Friends Season 4;Supernatural
Natsume's Book of Friends Season 4;Drama
Natsume's Book of Friends Season 4;Fantasy
Natsume's Book of Friends Season 4;Shoujo
Shokugeki no Soma 4th Season, Food Wars! The Third Plate 2nd cour, Shokugeki no Souma: San no Sara (2018);Ecchi
Shokugeki no Soma 4th Season, Food Wars! The Third Plate 2nd cour, Shokugeki no Souma: San no Sara (2018);School
Shokugeki no Soma 4th Season, Food Wars! The Third Plate 2nd cour, Shokugeki no Souma: San no Sara (2018);Shounen
Mushishi Tokubetsu-hen: Suzu no Shizuku, Mushishi: The Next Chapter - Drops of Bells;Adventure
Mushishi Tokubetsu-hen: Suzu no Shizuku, Mushishi: The Next Chapter - Drops of Bells;Fantasy
Mushishi Tokubetsu-hen: Suzu no Shizuku, Mushishi: The Next Chapter - Drops of Bells;Historical
Mushishi Tokubetsu-hen: Suzu no Shizuku, Mushishi: The Next Chapter - Drops of Bells;Mystery
Mushishi Tokubetsu-hen: Suzu no Shizuku, Mushishi: The Next Chapter - Drops of Bells;Seinen
Mushishi Tokubetsu-hen: Suzu no Shizuku, Mushishi: The Next Chapter - Drops of Bells;Slice
Mushishi Tokubetsu-hen: Suzu no Shizuku, Mushishi: The Next Chapter - Drops of Bells;Supernatural
Kizumonogatari Part 2: Nekketsu;Action
Kizumonogatari Part 2: Nekketsu;Mystery
Kizumonogatari Part 2: Nekketsu;Supernatural
Kizumonogatari Part 2: Nekketsu;Vampire
Monster;Drama
Monster;Horror
Monster;Mystery
Monster;Police
Monster;Psychological
Monster;Seinen
Monster;Thriller
Bakuman.;Comedy
Bakuman.;Drama
Bakuman.;Romance
Bakuman.;Shounen
Death Note;Mystery
Death Note;Police
Death Note;Psychological
Death Note;Supernatural
Death Note;Thriller
Death Note;Shounen
