Name_Eng;Genre
Berserk;Action
Berserk;Adventure
Berserk;Demons
Berserk;Drama
Berserk;Fantasy
Berserk;Horror
Berserk;Supernatural
Berserk;Military
Berserk;Psychological
Berserk;Seinen
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Action
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Adventure
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Mystery
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Historical
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Horror
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Shounen
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Supernatural
Fullmetal Alchemist;Action
Fullmetal Alchemist;Adventure
Fullmetal Alchemist;Comedy
Fullmetal Alchemist;Drama
Fullmetal Alchemist;Shounen
Fullmetal Alchemist;Military
Monster;Mystery
Monster;Drama
Monster;Psychological
Monster;Seinen
Oyasumi Punpun;Drama
Oyasumi Punpun;Slice
Oyasumi Punpun;Psychological
Oyasumi Punpun;Seinen
One Piece;Action
One Piece;Adventure
One Piece;Comedy
One Piece;Fantasy
One Piece;Shounen
One Piece;Super
Grand Blue;Comedy
Grand Blue;Slice
Grand Blue;Seinen
Made in Abyss;Adventure
Made in Abyss;Drama
Made in Abyss;Fantasy
Made in Abyss;Sci-Fi
20th Century Boys;Mystery
20th Century Boys;Drama
20th Century Boys;Historical
20th Century Boys;Sci-Fi
20th Century Boys;Psychological
20th Century Boys;Seinen
Vagabond;Action
Vagabond;Adventure
Vagabond;Drama
Vagabond;Historical
Vagabond;Samurai
Vagabond;Seinen
Kingdom;Action
Kingdom;Drama
Kingdom;Historical
Kingdom;Military
Kingdom;Seinen
Slam Dunk;Comedy
Slam Dunk;Drama
Slam Dunk;School
Slam Dunk;Shounen
Slam Dunk;Sports
Utsuro no Hako to Zero no Maria;Action
Utsuro no Hako to Zero no Maria;Mystery
Utsuro no Hako to Zero no Maria;Drama
Utsuro no Hako to Zero no Maria;Horror
Utsuro no Hako to Zero no Maria;Romance
Utsuro no Hako to Zero no Maria;School
Utsuro no Hako to Zero no Maria;Supernatural
Utsuro no Hako to Zero no Maria;Psychological
Utsuro no Hako to Zero no Maria;Thriller
Monogatari Series: First Season;Action
Monogatari Series: First Season;Comedy
Monogatari Series: First Season;Mystery
Monogatari Series: First Season;Romance
Monogatari Series: First Season;Vampire
Monogatari Series: First Season;Supernatural
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Comedy
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;Romance
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;School
Kaze no Tani no Nausicaä;Action
Kaze no Tani no Nausicaä;Adventure
Kaze no Tani no Nausicaä;Fantasy
Kaze no Tani no Nausicaä;Supernatural
GTO;Action
GTO;Comedy
GTO;Drama
GTO;Ecchi
GTO;School
GTO;Shounen
Yotsuba to!;Comedy
Yotsuba to!;Slice
Ookami to Koushinryou;Adventure
Ookami to Koushinryou;Drama
Ookami to Koushinryou;Fantasy
Ookami to Koushinryou;Historical
Ookami to Koushinryou;Romance
Ookami to Koushinryou;Supernatural
Akatsuki no Yona;Action
Akatsuki no Yona;Comedy
Akatsuki no Yona;Fantasy
Akatsuki no Yona;Romance
Akatsuki no Yona;Shoujo
Koe no Katachi;Drama
Koe no Katachi;School
Koe no Katachi;Shounen
Uchuu Kyoudai;Drama
Uchuu Kyoudai;Sci-Fi
Uchuu Kyoudai;Space
Uchuu Kyoudai;Seinen
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Drama
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Fantasy
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Romance
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?;Sci-Fi
Watashitachi no Shiawase na Jikan;Drama
Watashitachi no Shiawase na Jikan;Music
Watashitachi no Shiawase na Jikan;Romance
Watashitachi no Shiawase na Jikan;Slice
Watashitachi no Shiawase na Jikan;Psychological
Watashitachi no Shiawase na Jikan;Seinen
Mushishi;Mystery
Mushishi;Fantasy
Mushishi;Historical
Mushishi;Supernatural
Mushishi;Seinen
One Punch-Man;Action
One Punch-Man;Comedy
One Punch-Man;Parody
One Punch-Man;Sci-Fi
One Punch-Man;Super
One Punch-Man;Supernatural
Monogatari Series: Second Season;Comedy
Monogatari Series: Second Season;Mystery
Monogatari Series: Second Season;Drama
Monogatari Series: Second Season;Vampire
Monogatari Series: Second Season;Supernatural
Kakukaku Shikajika;Slice
Kakukaku Shikajika;Josei
Kozure Ookami;Action
Kozure Ookami;Historical
Kozure Ookami;Samurai
Kozure Ookami;Seinen
Natsume Yuujinchou;Drama
Natsume Yuujinchou;Shoujo
Natsume Yuujinchou;Supernatural
Re:Zero kara Hajimeru Isekai Seikatsu;Action
Re:Zero kara Hajimeru Isekai Seikatsu;Drama
Re:Zero kara Hajimeru Isekai Seikatsu;Fantasy
Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.;Drama
Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.;Shounen
Death Note;Mystery
Death Note;Drama
Death Note;Shounen
Death Note;Supernatural
Death Note;Psychological
Ashita no Joe;Drama
Ashita no Joe;Shounen
Ashita no Joe;Sports
Ashita no Joe;Slice
Haikyuu!!;Comedy
Haikyuu!!;Drama
Haikyuu!!;School
Haikyuu!!;Shounen
Haikyuu!!;Sports
Houseki no Kuni;Action
Houseki no Kuni;Fantasy
Houseki no Kuni;Seinen
Vinland Saga;Action
Vinland Saga;Adventure
Vinland Saga;Drama
Vinland Saga;Historical
