Char_Name;Name_Jap;Name_Nick;Char_Data
Guts;Guts  (ガッツ);"Guts ""The Black Swordsman, Kuroi Kenshi, Hundred Man Slayer, Heartless Swordsman, Struggler"" ";"
Eyes: brown
Hair: black

white stripe after use of Berserker armor
Height: 6'3"" (190 cm)
6'8"" (204 cm) post volume 26
Weight:
254 lbs (115kg) post volume 26
Guts is the protagonist of the story. He is a tall, muscular man with a huge sword called the Dragon Slayer, a prosthetic left forearm that has a magnetic grip which also conceals a cannon. Guts is a tragic hero; he is born as one who may be able to struggle against Causality, but seemingly unable to affect it on a large scale.

Note: His name has often times been translated by some English scanlation groups as ""Gatts,"" or ""Gutts,"" or ""Gattsu."" However, the official translation provided to Dark Horse Comics by Kentaro Miura himself, is in fact, ""Guts."""
Griffith;Griffith  (グリフィス);"Griffith ""The White Hawk, The Hawk of Light, Femto"" ";"
Griffith is the main antagonist of the series. He was the founder and leader of the mercenary unit known as the Band of the Hawk, named for his helmet which was forged in the shape of a Hawk's head.

Extraordinarily charismatic, intelligent, and handsome, his skill with his sabre and tactics gives him and his band the reputation of invincibility, making him the favored choice of the Midland King, who was locked in a century long war with the Empire of Chuder.


Believing that he is destined for greater things than the average man, Griffith is willing to sacrifice everything for the dream of his own kingdom and only values others so far as they are useful to him. The one exception seems to be Guts and Casca, both of whom he confides to in private moments. The source of his ambition is a Behelit given to him by a fortune teller she claimed was ""The Egg of the King,"" which could lead an average person to becoming King himself."
Casca;Casca  (キャスカ);"Casca ""Elaine"" ";"
Casca was the only female soldier in the original Band of the Hawk and is behind only to Guts and Griffith in swordsmanship. Her ambivalent relationship to both of them makes her moody and capricious. Casca joins the Band of the Hawk after Griffith saves her from a sexual assault by a nobleman."
Schierke;Schierke  (シールケ);Schierke  ;"
Schierke is a young witch-in-training, a disciple of the witch Flora. She is accompanied by an elf, Evarella. She aided Guts's group with a troll infestation in the nearby village Enoch, where she showed how powerful magic can be in Berserk.

After a series of events, Schierke was forced to leave her home and Flora behind forever when they faced an attack Griffith ordered. Schierke, having lived a sheltered life, doesn't like the Human world or the Holy See's religion, but she finds life outside bearable due to her companions.

Her magic skills and knowledge of the world are impressive for a child her age. One of her most used and handiest spells is the ability to hypnotize or temporarily desensitize others. But due to her youth, she tends to exhibit dangerous overzealousness. Her ability to sense ""Od"" (life force or spirit energy) means she can sense the power, intent, and alignment of all creatures and artifacts.

As she sees Isidro as an incompetent monkey, there is some friction between the two, which frequently lends itself to comic situations. Though she initially couldn't stand Guts, Schierke has developed a slight infatuation with him and both now share a father-daughter relationship. When Sonia gave her an offer to join the Band of the Hawk, Schierke thought of Guts before declining. Their journey together constantly brings them into even deeper understanding."
Puck;Puck  (パック);Puck  ;"
A wind spirit from Elfhelm, a utopia on the island Skellig in the Western Sea. Elves in Berserk can only be seen by the open-minded; the devoutly religious cannot see Puck at all, though he can play with their face unbeknownst to them. Puck can secrete a powder from his wings to quickly heal wounds and can emit a bright flash to blind enemies. On occasion, he also resorts to his ""Bloody Needle"" attack, tossing a spiny object resembling a seed pod at someone. It deals no injury, but is painful enough to prompt most victims to cry out. Puck was the first to join Guts's journey, and is starting to show a strange attachment to the Behelit Guts took upon his battle with the Count.

Puck often serves as comic relief along with Isidro. The two are frequently drawn in an exaggerated manner. He is very angry when he ever is mixed up with a Pixie or Fairy quick to state the difference. He also seems to have a brother-sister relationship with the newest comic relief character the female elf Evarella.

(Source: Wikipedia)"
Serpico;Serpico  (セルピコ);Serpico  ;"
Serpico is Farnese's companion and unbeknownst to her, her paternal half-brother. During his time with the Holy See, Serpico was Herald for the Holy Iron Chain Knights.

When aggressive, Serpico belies his meek appearance and is comparable to a fox due to his shrewd observation and speed with a rapier.

Despite Farnese's childhood abuse and her forcing him to burn his own mother at the stake, he cares deeply for his half-sister. Serpico was her servant since she found him beaten on a snowy street over a decade ago.

Serpico's relationship with Guts has forever been plagued with animosity, due in large part to the dangers that inevitably surround Guts and anyone he takes into his Band. After a duel with Guts in the underground pillars of Vritannis, Guts spared his life. Their bond rekindled, and Serpico has since learned to trust Guts to protect Farnese when he can not.

Serpico uses two items blessed by the wind spirit Sylph in order to battle with tolerance alongside Guts: a rapier that can generate razor sharp gusts of wind; and a cloak that constantly generates a swirling vortex around its wearer which can deflect projectiles, assist in jumping, and slow falls from great heights."
de Vandimion, Farnese;Farnese de Vandimion (ファルネーゼ・ド・ヴァンディミオン);"Farnese ""The Devil Child of Vandimion, Wandering Princess"" de Vandimion";"
Farnese is a noblewoman who led the Holy See's ceremonial guard, the Holy Iron Chain Knights. Since this position has been traditionally held by a woman, Farnese was appointed during her stay at the convent she was sent to by her father, Federico Vandimion.

A bit of a pyromaniac (and possibly a pyrophiliac), Farnese's habit of maniacally burning things she didn't like, along with her lack of empathy due to her poor upbringing provoked her to hunt down and burn supposed witches and pagans at the stake. This fueled a secret sadistic pleasure that she constantly tried to deny.

She and Serpico left their Holy See positions after her faith was shattered during the devastation of Albion and the events surrounding Griffith's reincarnation. She then chose to follow Guts in hopes of learning more about the world and has changed into a more sympathetic human being. Since then, Farnese has begun to study witchcraft under Schierke's tutelage. Farnese also seems to have developed a crush on Guts which becomes evident in chapter 287 and 288 of the manga.

Farnese is primarily Casca's care taker and thus rarely involves herself in battles. She and Casca both received enchanted chainmail shirts made of silver as well as a silver short sword for protection against creatures from the astral plane. During Ganishka's raid on Vritanis, she also received a trio of snake-like homonculi created by Schierke from thorn vines which Farnese remote controls with a vine ring."
Isidro;Isidro  (イシドロ);Isidro  ;"
A runaway brat turned thief, Isidro dreams of becoming a great swordsman, which made him tag along with Guts. Despite his lack of strength and skill, he utilizes his small size and agility to his advantage, along with various tricks and tools. He has a great ego and plans to become the very best; he initially planned to ""observe"" Guts and steal his ""techniques"" to surpass him. But he slowly starts to realize the inconceivable difference in strength between him and Guts, but that there may even be ways for him to become a formidable warrior...

His most important role however, is probably to serve as a comic relief along with Puck."
The Skull Knight;The Skull Knight  (髑髏の騎士);The Skull Knight  ;"
The Skull Knight is one of the most mysterious and prolific characters introduced in Berserk, a towering warrior dressed in full armor whose ornaments, especially his helmet, are shaped as parts of a human skeleton, hence his moniker, who rides a massive, ghostly black horse. Though ominous and macabre, he is an enemy of the Godhand and its acolytes, hunting down Apostles and devouring their Behelits; especially bitter is his rivalry with Zodd the Immortal, whom he was often showed to overwhelm with ease.

He wields a powerful sword that, when stuck down his throat, becomes a terrible, Behelit-coated blade capable of slashing rifts through reality itself, thus allowing the Skull Knight to move freely around the world or even between different dimensions.


This enigmatic knight saved Guts in more than one occasion, notably during the infamous Eclipse which saw Griffith become a member of the Hand of God or when Slan almost slaughtered him, though he never explained why, simply declaring that the Struggler (the way he calls Guts) has to keep following his fate.

It is heavily speculated that, during his life as a mortal, the Skull Knight was in fact Gaiseric, the warlord that unified the Midland and became its first Emperor, notorious for his helmet whose shape was that of a human skull and whose ambitions 'prompted God to send four Angels' (most likely the four members of the Hand of God) to punish him.

He was the wearer of the Berserker's Armor, and knew the witch Flora. During the duel between Griffith and Ganishka he suddenly appeared out of thin air through a dimensional rift, trying to land a fatal blow on the Hawk, only to see it diverted on the writhing body of the Kushan Emperor."
Judeau;Judeau  (ジュドー);Judeau  ;"
The old Band of the Hawk's friendly mediator. A former circus performer who wielded throwing knives, Judeau was also well-aware of the world around him and was seen as a confidant for many of The Hawks. Throughout his stay with the Band of the Hawk, he was secretly in love with Casca, but never acted on it out of respect for Guts' and Casca's feelings for each other."
