Name_Manga;Name_Char;Role_Char;Url_Char
Berserk;Guts;Main;https://myanimelist.net/character/422/Guts
Berserk;Griffith;Main;https://myanimelist.net/character/424/Griffith
Berserk;Casca;Main;https://myanimelist.net/character/423/Casca
Berserk;Schierke;Main;https://myanimelist.net/character/7864/Schierke
Berserk;Puck;Main;https://myanimelist.net/character/5060/Puck
Berserk;Serpico;Main;https://myanimelist.net/character/5059/Serpico
Berserk;de Vandimion, Farnese;Main;https://myanimelist.net/character/7857/Farnese_de_Vandimion
Berserk;Isidro;Main;https://myanimelist.net/character/7859/Isidro
Berserk;The Skull Knight;Supporting;https://myanimelist.net/character/7881/The_Skull_Knight
Berserk;Judeau;Supporting;https://myanimelist.net/character/454/Judeau
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Zeppeli, Gyro;Main;https://myanimelist.net/character/11772/Gyro_Zeppeli
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Joestar, Johnny;Main;https://myanimelist.net/character/19492/Johnny_Joestar
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Valentine, Funny;Main;https://myanimelist.net/character/20147/Funny_Valentine
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Brando, Diego;Main;https://myanimelist.net/character/20148/Diego_Brando
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Steel, Lucy;Main;https://myanimelist.net/character/23651/Lucy_Steel
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Christ, Jesus;Supporting;https://myanimelist.net/character/87201/Jesus_Christ
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Roadagain, Ringo;Supporting;https://myanimelist.net/character/23649/Ringo_Roadagain
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Hot Pants;Supporting;https://myanimelist.net/character/23650/Hot_Pants
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Brando, Alternate Diego;Supporting;https://myanimelist.net/character/150109/Alternate_Diego_Brando
JoJo no Kimyou na Bouken Part 7: Steel Ball Run;Wekapipo;Supporting;https://myanimelist.net/character/27042/Wekapipo
Fullmetal Alchemist;Elric, Edward;Main;https://myanimelist.net/character/11/Edward_Elric
Fullmetal Alchemist;Elric, Alphonse;Main;https://myanimelist.net/character/12/Alphonse_Elric
Fullmetal Alchemist;Mustang, Roy;Supporting;https://myanimelist.net/character/68/Roy_Mustang
Fullmetal Alchemist;Hughes, Maes;Supporting;https://myanimelist.net/character/69/Maes_Hughes
Fullmetal Alchemist;Greed;Supporting;https://myanimelist.net/character/351/Greed
Fullmetal Alchemist;Hawkeye, Riza;Supporting;https://myanimelist.net/character/70/Riza_Hawkeye
Fullmetal Alchemist;Armstrong, Alex Louis;Supporting;https://myanimelist.net/character/2079/Alex_Louis_Armstrong
Fullmetal Alchemist;Yao, Ling;Supporting;https://myanimelist.net/character/3293/Ling_Yao
Fullmetal Alchemist;Rockbell, Winry;Supporting;https://myanimelist.net/character/63/Winry_Rockbell
Fullmetal Alchemist;Envy;Supporting;https://myanimelist.net/character/651/Envy
Monster;Liebert, Johan;Main;https://myanimelist.net/character/719/Johan_Liebert
Monster;Tenma, Kenzou;Main;https://myanimelist.net/character/718/Kenzou_Tenma
Monster;Liebert, Anna;Main;https://myanimelist.net/character/720/Anna_Liebert
Monster;Grimmer, Wolfgang;Supporting;https://myanimelist.net/character/3096/Wolfgang_Grimmer
Monster;Lunge, Heinrich;Supporting;https://myanimelist.net/character/721/Heinrich_Lunge
